#{"t_start": 1633963716.4191632, "env_id": null}
r,l,t
-0.1,1,7.059535
-0.1,1,7.059675
-0.1,1,7.05971
-0.1,1,7.059737
-0.1,1,7.059761
-0.1,1,7.059784
-0.1,1,7.059806
-0.1,1,7.059828
0.0,2,9.976612
-0.1,2,9.976724
-0.1,2,9.97676
-0.1,1,9.976786
-0.1,1,9.976809
-0.1,1,9.976832
-0.1,1,9.976854
-0.1,1,9.97687
-0.1,1,9.976885
-0.1,2,13.011493
-0.1,2,13.011614
-0.1,1,13.011646
-0.1,1,13.011672
-0.1,1,13.011696
-0.1,2,16.092397
-0.1,2,16.092516
-0.1,1,16.092549
-0.1,1,16.092574
-0.1,2,16.092597
-0.1,2,16.092631
-0.1,2,16.092654
-0.1,1,16.092677
-0.1,1,19.816414
-0.1,2,19.81653
-0.1,1,19.816562
-0.1,1,19.816588
-0.1,1,19.816612
-0.1,1,19.81664
-0.1,3,19.816655
-0.1,5,19.81667
-0.1,1,19.816684
-0.1,1,22.851676
-0.1,1,22.851791
1.0,3,22.851825
-0.1,1,22.851863
-0.1,1,22.851895
-0.1,1,25.851793
-0.1,1,25.851912
-0.1,3,25.851946
-0.1,1,25.851972
-0.1,2,25.851995
-0.1,2,25.852018
1.0,2,29.360091
-0.1,4,29.360209
-0.1,1,29.360243
-0.1,2,29.360267
-0.1,1,29.360292
-0.1,1,29.360315
-0.1,1,29.360338
-0.1,3,29.360361
-0.1,4,32.507041
0.0,2,32.507254
0.0,4,32.507338
-0.1,1,32.507399
-0.1,1,32.507456
-0.1,2,36.173129
1.0,2,36.173256
-0.1,1,36.173566
-0.1,1,36.173615
-0.1,1,36.173635
-0.1,2,36.17365
-0.1,3,36.173666
-0.1,2,36.173681
-0.1,1,39.665723
-0.1,3,39.665837
0.0,3,39.66587
-0.1,2,39.6659
-0.1,1,39.665925
-0.1,1,39.66595
-0.1,1,39.665974
-0.1,2,39.666
-0.1,1,39.666024
-0.1,1,39.66606
-0.1,2,42.844576
-0.1,1,42.844695
-0.1,1,42.84473
-0.1,1,42.844757
-0.1,1,42.844781
-0.1,1,42.844805
-0.1,1,45.823322
-0.1,1,45.823438
-0.1,2,45.823482
-0.1,1,45.823508
-0.1,1,45.823532
-0.1,1,45.823555
-0.1,2,45.823576
-0.1,1,45.823592
-0.1,2,45.823609
-0.1,1,49.434687
-0.1,1,49.434815
-0.1,1,49.434848
-0.1,1,49.434875
-0.1,4,49.4349
-0.1,1,49.434924
-0.1,3,49.434948
-0.1,1,49.434972
-0.1,1,53.127831
0.0,2,53.12795
-0.1,1,53.127984
-0.1,2,53.128012
-0.1,1,53.128037
-0.1,1,53.128061
-0.1,1,53.128085
-0.1,1,53.128109
-0.1,1,53.128132
-0.1,2,53.128155
-0.1,1,56.631155
-0.1,1,56.631282
-0.1,2,56.631321
-0.1,5,56.631353
-0.1,1,56.631381
-0.1,1,56.631406
-0.1,1,56.631432
-0.1,1,56.631458
-0.1,2,60.300914
-0.1,2,60.301012
-0.1,1,60.301157
-0.1,2,60.301187
-0.1,1,60.301205
-0.1,1,60.301222
-0.1,1,60.301237
-0.1,1,60.301252
-0.1,1,60.301267
-0.1,1,63.885451
-0.1,1,63.885572
-0.1,1,63.885607
-0.1,1,63.885634
-0.1,1,63.885659
-0.1,2,63.885682
-0.1,1,63.885706
-0.1,1,63.88573
-0.1,1,67.510343
-0.1,2,67.510472
-0.1,3,67.510507
-0.1,2,67.510534
-0.1,1,67.510559
-0.1,1,67.510583
-0.1,1,67.510607
-0.1,4,67.51063
-0.1,1,70.529923
-0.1,2,70.530013
-0.1,2,70.530047
-0.1,1,70.530072
-0.1,1,70.530094
-0.1,2,70.530115
-0.1,2,70.530132
-0.1,2,74.189403
-0.1,2,74.189525
-0.1,2,74.189558
-0.1,1,74.189584
-0.1,1,74.189609
-0.1,1,74.189633
-0.1,1,74.189657
-0.1,2,74.189681
-0.1,1,74.189704
-0.1,1,77.818823
-0.1,2,77.818942
-0.1,1,77.818976
-0.1,1,77.819002
-0.1,2,77.819028
-0.1,1,77.819052
-0.1,4,81.364197
-0.1,1,81.364316
1.0,2,81.364352
-0.1,2,81.364379
-0.1,2,81.364397
-0.1,1,81.364413
-0.1,1,81.364428
1.0,2,81.364443
-0.1,1,81.364458
-0.1,2,84.951897
-0.1,3,84.952016
-0.1,1,84.95205
-0.1,1,84.952077
-0.1,1,84.952101
-0.1,1,84.952126
-0.1,1,84.95215
-0.1,1,84.952174
-0.1,2,84.952198
-0.1,1,88.658181
-0.1,1,88.6583
-0.1,1,88.658333
-0.1,1,88.65836
-0.1,1,88.658385
-0.1,1,88.658409
-0.1,3,92.341754
0.0,3,92.341842
-0.1,2,92.341877
0.0,2,92.341903
-0.1,1,92.341926
0.0,2,92.34195
-0.1,3,92.341972
-0.1,1,92.34199
-0.1,1,92.342005
-0.1,1,96.12231
-0.1,1,96.122434
-0.1,1,96.12259
-0.1,1,96.122625
-0.1,2,96.122651
-0.1,2,96.122676
-0.1,1,96.122699
-0.1,1,96.122723
-0.1,2,96.122747
-0.1,1,96.12277
-0.1,1,99.818035
-0.1,2,99.818153
-0.1,1,99.818187
-0.1,1,99.818213
-0.1,1,99.818237
-0.1,1,99.818261
-0.1,1,99.818285
-0.1,1,99.818309
-0.1,2,103.566448
-0.1,1,103.566538
-0.1,1,103.566573
-0.1,2,103.566599
-0.1,1,103.566621
-0.1,1,103.566642
-0.1,3,103.566658
-0.1,1,103.566674
-0.1,1,106.5126
-0.1,1,106.512758
-0.1,2,106.512794
-0.1,2,106.51282
0.0,2,106.512844
-0.1,1,106.512868
-0.1,2,110.276537
-0.1,1,110.276655
0.0,2,110.276688
-0.1,1,110.276714
-0.1,2,110.276735
-0.1,2,110.27675
-0.1,1,110.276765
-0.1,1,110.27678
-0.1,2,110.276795
-0.1,1,110.27681
-0.1,4,110.276824
-0.1,1,110.276839
-0.1,1,113.897987
-0.1,1,113.898104
-0.1,1,113.898139
-0.1,1,113.898166
-0.1,1,113.89819
-0.1,1,113.898214
-0.1,1,117.4825
-0.1,2,117.482616
-0.1,2,117.482649
-0.1,2,117.482674
-0.1,2,117.482696
-0.1,1,117.482717
-0.1,1,117.482738
-0.1,2,117.482762
-0.1,2,117.482785
-0.1,1,121.065448
-0.1,1,121.065571
-0.1,1,121.065605
-0.1,1,121.065632
-0.1,2,121.065655
-0.1,1,121.065678
-0.1,1,121.0657
-0.1,1,121.065719
-0.1,1,124.816219
-0.1,1,124.816375
-0.1,1,124.816427
-0.1,1,124.816456
-0.1,3,124.816479
-0.1,1,124.816501
-0.1,2,124.816516
-0.1,3,124.816532
-0.1,1,124.816547
-0.1,1,128.20326
-0.1,1,128.203378
-0.1,1,128.203411
-0.1,1,128.203437
-0.1,1,128.20346
-0.1,2,128.203482
-0.1,1,128.203502
-0.1,2,128.203523
-0.1,1,128.203541
-0.1,1,128.203556
-0.1,1,128.203571
-0.1,1,131.626337
-0.1,1,131.62646
-0.1,1,131.626495
-0.1,1,131.626522
-0.1,1,131.626547
-0.1,2,135.098316
-0.1,1,135.09844
-0.1,2,135.098476
-0.1,1,135.098503
0.0,5,135.098528
-0.1,2,135.098552
-0.1,2,135.098574
-0.1,2,135.098597
-0.1,1,138.783928
-0.1,1,138.784052
-0.1,2,138.784087
-0.1,1,138.784114
-0.1,1,138.784139
-0.1,1,138.784163
-0.1,2,138.784186
-0.1,1,142.226638
-0.1,4,142.226758
-0.1,1,142.226794
-0.1,1,142.226821
-0.1,2,142.226844
-0.1,1,142.226861
-0.1,1,142.226876
-0.1,2,142.226892
-0.1,1,145.96628
-0.1,1,145.966471
-0.1,1,145.966544
-0.1,1,145.966606
-0.1,1,145.966663
-0.1,1,145.966717
-0.1,2,145.966772
-0.1,1,145.966826
-0.1,1,145.966879
-0.1,2,145.966933
-0.1,1,149.483667
-0.1,1,149.483787
-0.1,1,149.483822
-0.1,1,149.483849
-0.1,1,149.483873
-0.1,1,149.483898
-0.1,4,149.483923
-0.1,1,149.483948
-0.1,1,149.483971
-0.1,1,149.483994
-0.1,1,153.162203
-0.1,1,153.162332
-0.1,1,153.162566
-0.1,1,153.162719
-0.1,1,153.162789
-0.1,1,153.162847
-0.1,1,153.162904
-0.1,1,156.17209
-0.1,7,156.172206
-0.1,2,156.17224
-0.1,2,156.172266
-0.1,1,156.17229
-0.1,2,156.172315
0.0,3,156.172331
-0.1,1,159.612623
-0.1,1,159.612745
-0.1,2,159.61278
-0.1,2,159.612807
-0.1,2,159.612833
-0.1,1,159.612858
-0.1,1,159.612882
1.0,2,163.239155
-0.1,1,163.239286
-0.1,1,163.239324
0.0,3,163.239353
-0.1,2,163.239378
-0.1,3,163.239399
-0.1,1,163.239415
-0.1,1,163.239431
-0.1,1,163.239446
-0.1,1,163.239461
-0.1,1,163.239477
-0.1,1,166.960387
-0.1,1,166.960516
-0.1,1,166.960552
-0.1,1,166.960579
-0.1,1,166.960605
-0.1,1,166.96063
-0.1,1,166.960654
-0.1,1,166.960678
-0.1,1,170.471022
-0.1,1,170.471141
-0.1,1,170.471176
-0.1,1,170.471203
-0.1,2,170.471236
-0.1,1,170.471264
-0.1,2,170.471282
-0.1,1,173.96223
-0.1,2,173.962358
-0.1,1,173.962393
-0.1,1,173.962421
1.0,2,173.962447
1.0,2,173.962472
-0.1,2,176.990372
-0.1,1,176.990504
0.0,6,176.990541
0.0,2,176.990571
-0.1,2,176.990595
-0.1,4,176.99062
-0.1,2,176.990644
-0.1,1,176.990669
-0.1,2,180.574305
-0.1,1,180.574419
-0.1,1,180.574457
-0.1,2,180.574486
-0.1,1,180.574512
-0.1,1,180.574538
-0.1,1,184.069687
0.0,3,184.069808
-0.1,1,184.069844
-0.1,1,184.06987
-0.1,2,184.069896
-0.1,2,184.06992
-0.1,1,184.069944
-0.1,2,184.069966
-0.1,1,184.069989
-0.1,1,187.555556
-0.1,1,187.555648
-0.1,1,187.555682
-0.1,2,187.555708
-0.1,4,187.555731
-0.1,1,187.555753
-0.1,4,191.259377
-0.1,2,191.259496
0.0,2,191.259534
-0.1,1,191.259564
-0.1,2,191.259591
-0.1,1,191.259617
-0.1,1,191.259644
-0.1,2,191.259669
-0.1,1,195.035782
-0.1,1,195.035896
-0.1,2,195.035929
-0.1,1,195.035957
-0.1,1,195.035983
-0.1,2,195.036003
-0.1,1,195.036019
-0.1,3,195.036035
-0.1,1,195.036049
-0.1,1,195.036064
-0.1,1,198.679875
0.0,3,198.679996
-0.1,1,198.680031
-0.1,2,198.680058
-0.1,1,198.680084
-0.1,1,198.68011
-0.1,1,198.680134
-0.1,1,198.680158
-0.1,1,198.680182
-0.1,1,201.598282
-0.1,1,201.598372
-0.1,1,201.598396
-0.1,1,201.598414
-0.1,1,201.59843
0.0,2,201.598446
0.0,2,205.303034
-0.1,2,205.30315
-0.1,1,205.303185
-0.1,1,205.303212
-0.1,2,205.303247
-0.1,1,205.303275
-0.1,2,205.303299
-0.1,2,208.941808
-0.1,1,208.941926
-0.1,1,208.941962
-0.1,1,208.941989
-0.1,1,208.942015
-0.1,4,208.942039
-0.1,1,208.942062
-0.1,1,212.503873
-0.1,1,212.503996
1.0,3,212.504031
-0.1,2,212.504059
-0.1,2,212.504085
-0.1,3,212.504109
-0.1,1,212.504133
-0.1,1,212.504158
-0.1,1,216.030064
-0.1,2,216.030193
-0.1,1,216.03035
-0.1,1,216.030386
-0.1,1,216.03041
-0.1,2,216.030427
-0.1,1,216.030443
-0.1,1,216.030458
-0.1,1,216.030474
-0.1,2,216.030489
-0.1,1,219.845985
-0.1,1,219.846104
-0.1,1,219.846138
-0.1,2,219.846164
-0.1,1,219.846189
-0.1,1,219.846213
-0.1,1,219.846236
-0.1,1,223.286551
-0.1,1,223.286668
-0.1,8,223.286703
-0.1,1,223.286731
-0.1,2,223.286755
-0.1,2,223.286778
-0.1,1,223.286794
-0.1,1,226.988611
-0.1,1,226.98873
-0.1,1,226.988766
-0.1,1,226.988793
-0.1,1,226.988819
-0.1,2,226.988843
-0.1,1,226.988868
0.0,2,226.988891
-0.1,1,230.658164
0.0,2,230.658284
-0.1,1,230.658319
-0.1,1,230.658347
-0.1,1,230.658371
-0.1,4,230.658396
-0.1,1,230.65842
-0.1,4,230.658444
-0.1,1,230.658468
-0.1,1,230.658492
-0.1,3,230.658516
-0.1,1,234.128801
-0.1,1,234.128919
-0.1,2,234.128955
-0.1,1,234.128982
-0.1,1,234.129007
-0.1,2,237.803609
-0.1,2,237.803731
-0.1,1,237.803766
-0.1,1,237.803794
-0.1,2,237.803819
-0.1,2,237.803843
0.0,2,237.803866
-0.1,2,241.390682
-0.1,1,241.390796
-0.1,2,241.39083
-0.1,3,241.390857
-0.1,1,241.390883
-0.1,1,241.390908
0.0,4,244.908361
-0.1,2,244.908477
-0.1,1,244.908512
-0.1,2,244.90854
-0.1,1,244.908566
-0.1,1,247.998719
-0.1,2,247.998843
-0.1,1,247.998876
-0.1,4,247.998904
-0.1,1,247.99893
-0.1,2,247.998956
-0.1,1,247.99898
-0.1,4,251.518334
-0.1,1,251.518455
-0.1,1,251.51849
-0.1,1,251.518517
-0.1,1,251.51854
-0.1,2,251.518557
-0.1,1,251.518573
-0.1,4,254.999827
-0.1,2,254.999946
-0.1,1,254.99998
-0.1,1,255.00001
-0.1,1,255.000036
-0.1,1,255.000061
-0.1,1,255.000086
-0.1,2,255.000111
-0.1,1,255.000135
-0.1,5,255.000159
-0.1,1,258.712929
-0.1,2,258.713048
-0.1,1,258.713084
-0.1,1,258.713111
-0.1,1,258.713136
-0.1,1,258.713162
-0.1,1,258.713186
-0.1,5,258.71321
-0.1,1,258.713234
-0.1,1,258.713258
-0.1,1,262.25051
-0.1,1,262.250627
-0.1,1,262.250661
-0.1,1,262.250688
-0.1,1,262.250713
-0.1,1,262.250737
-0.1,1,262.250761
-0.1,2,262.250785
-0.1,1,262.250809
-0.1,1,265.874008
-0.1,1,265.874127
-0.1,1,265.874161
-0.1,1,265.874188
-0.1,1,265.874212
-0.1,2,265.874235
-0.1,1,265.874259
-0.1,1,269.439828
0.0,4,269.439946
-0.1,1,269.439981
-0.1,1,269.440008
-0.1,1,269.440034
-0.1,2,269.440059
-0.1,1,269.440083
-0.1,1,269.440107
-0.1,2,269.44013
-0.1,1,269.440153
-0.1,1,273.190121
-0.1,1,273.190247
-0.1,1,273.190282
-0.1,4,273.19031
-0.1,1,273.190336
-0.1,1,273.19036
-0.1,1,273.190384
-0.1,1,273.190408
-0.1,1,276.610869
-0.1,1,276.610989
-0.1,1,276.611027
-0.1,2,276.611058
-0.1,1,276.611085
-0.1,4,276.611112
-0.1,1,276.611139
-0.1,2,276.611165
-0.1,1,276.61119
-0.1,2,276.611215
-0.1,1,280.347409
-0.1,1,280.347539
-0.1,1,280.347573
-0.1,1,280.347599
-0.1,2,280.347624
-0.1,1,280.347641
-0.1,1,280.347661
-0.1,2,280.347686
-0.1,2,284.052531
-0.1,1,284.052653
-0.1,2,284.052687
-0.1,1,284.052714
-0.1,1,284.052739
-0.1,1,284.052762
-0.1,1,284.052784
-0.1,2,284.052808
-0.1,1,287.723917
-0.1,2,287.724041
-0.1,1,287.724077
-0.1,1,287.724105
-0.1,2,287.72413
-0.1,1,287.724156
-0.1,2,287.72418
-0.1,1,290.78195
-0.1,2,290.782035
-0.1,1,290.78206
-0.1,2,290.782078
-0.1,4,290.782095
-0.1,2,290.782111
-0.1,1,290.782126
-0.1,1,294.436685
-0.1,2,294.436811
-0.1,3,294.436846
-0.1,1,294.436873
-0.1,2,294.436897
-0.1,2,294.43692
-0.1,1,294.436942
-0.1,1,294.436958
-0.1,1,298.00669
-0.1,1,298.006778
-0.1,2,298.006803
-0.1,1,298.006827
-0.1,1,298.00685
-0.1,1,298.006873
-0.1,2,298.006891
-0.1,1,298.00692
-0.1,3,298.006936
-0.1,1,301.602473
-0.1,2,301.602586
-0.1,1,301.602623
-0.1,1,301.602649
-0.1,1,301.602673
-0.1,1,301.602697
-0.1,2,304.623181
0.0,4,304.623314
-0.1,2,304.62335
-0.1,2,304.623377
-0.1,1,304.623401
-0.1,1,304.623425
