#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,2,9.014867
-0.1,2,9.01503
-0.1,2,9.015066
0.0,3,12.039447
-0.1,1,12.039563
0.0,3,12.039598
-0.1,1,12.039623
-0.1,3,12.039645
-0.1,3,12.03967
-0.1,4,14.991584
1.0,4,14.991695
-0.1,1,14.991738
-0.1,1,14.991764
-0.1,4,14.991787
-0.1,1,14.99181
0.0,5,17.512621
-0.1,1,17.512719
-0.1,1,17.512745
-0.1,1,17.512764
-0.1,6,20.371683
-0.1,1,20.371916
-0.1,3,20.371961
-0.1,3,20.371989
-0.1,1,20.372013
-0.1,1,22.953563
-0.1,4,25.274292
-0.1,1,25.274416
-0.1,6,25.274563
-0.1,1,28.423054
-0.1,4,28.423168
-0.1,4,28.4232
-0.1,5,28.423226
-0.1,3,28.423249
-0.1,3,28.423279
-0.1,1,28.423301
-0.1,1,31.496121
-0.1,4,31.496217
-0.1,1,31.496242
-0.1,1,31.49626
-0.1,1,31.496277
-0.1,1,31.496292
-0.1,1,33.909079
-0.1,1,33.909188
-0.1,2,37.044323
-0.1,8,37.044421
-0.1,9,37.044567
-0.1,1,37.044591
-0.1,2,37.044608
-0.1,3,37.044625
-0.1,4,40.129701
-0.1,1,40.129812
-0.1,7,40.129846
-0.1,1,40.129871
-0.1,3,40.129895
-0.1,1,40.129917
-0.1,1,43.231778
0.0,4,43.231899
-0.1,1,43.231932
-0.1,2,43.231959
-0.1,1,43.231981
-0.1,1,43.232006
-0.1,1,43.23203
-0.1,1,45.694105
-0.1,1,45.694216
-0.1,1,45.69425
-0.1,1,48.285821
-0.1,1,48.285954
-0.1,1,48.286082
-0.1,2,48.286113
-0.1,1,50.820926
-0.1,4,50.821135
-0.1,7,53.874786
-0.1,2,53.874888
-0.1,2,53.874922
-0.1,1,53.874948
0.0,6,53.874973
-0.1,4,53.874998
0.0,4,53.875022
0.0,5,56.911268
-0.1,1,56.911383
-0.1,2,59.170763
-0.1,2,59.170876
-0.1,1,62.388738
-0.1,5,62.388823
0.0,3,62.388847
-0.1,1,62.388865
-0.1,2,62.388889
-0.1,4,65.458712
0.0,14,65.458831
-0.1,1,65.458874
-0.1,1,65.458901
-0.1,10,65.458926
-0.1,3,65.458949
-0.1,4,65.458972
0.0,4,65.458995
0.0,6,67.866866
-0.1,1,67.866977
-0.1,1,67.867013
-0.1,1,67.867039
-0.1,1,67.867065
-0.1,3,70.489133
-0.1,3,70.489259
-0.1,1,70.489294
-0.1,1,70.489319
